# assembly_accession,asm_name,ftp_path,index,ncbi_assembly_level,ncbi_assembly_name,ncbi_bioproject,ncbi_biosample,ncbi_genbank_assembly_accession,ncbi_genome_representation,ncbi_organism_name,ncbi_refseq_category,parsed_genome_accession,srr_accession
GCA_000685395.1,NKMY2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/395/GCA_000685395.1_NKMY2,GCA_000685395.1,Contig,NKMY2,PRJNA224116,SAMN02767256,GCA_000685395.1,full,Candidatus Nitrosotenuis chungbukensis,na,GCF_000685395.1,
GCA_000690595.2,ASM69059v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/595/GCA_000690595.2_ASM69059v2,GCA_000690595.2,Scaffold,ASM69059v2,PRJNA224116,SAMN02390968,GCA_000690595.2,full,Haloterrigena mahii,na,GCF_000690595.1,
GCA_000691505.2,ASM69150v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/505/GCA_000691505.2_ASM69150v2,GCA_000691505.2,Contig,ASM69150v2,PRJNA224116,SAMN02739884,GCA_000691505.2,full,Halostagnicola sp. A56,na,GCF_000691505.1,
GCA_000691865.1,MethMaris1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/865/GCA_000691865.1_MethMaris1.0,GCA_000691865.1,Contig,MethMaris1.0,PRJNA224116,SAMN02738432,GCA_000691865.1,full,Methanoculleus sp. MH98A,na,GCF_000691865.1,
GCA_000698785.1,ASM69878v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/785/GCA_000698785.1_ASM69878v1,GCA_000698785.1,Complete Genome,ASM69878v1,PRJNA224116,SAMN02721150,GCA_000698785.1,full,Nitrososphaera viennensis EN76,representative genome,GCF_000698785.1,
GCA_000710605.1,HTGA29.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/710/605/GCA_000710605.1_HTGA29.1,GCA_000710605.1,Contig,HTGA29.1,PRJNA224116,SAMN02629025,GCA_000710605.1,full,Haloterrigena jeotgali A29,na,GCF_000710605.1,
GCA_000710615.1,HAPD43.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/710/615/GCA_000710615.1_HAPD43.1,GCA_000710615.1,Contig,HAPD43.1,PRJNA224116,SAMN02629026,GCA_000710615.1,full,Haladaptatus cibarius D43,representative genome,GCF_000710615.1,
GCA_000711215.1,ASM71121v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/711/215/GCA_000711215.1_ASM71121v1,GCA_000711215.1,Contig,ASM71121v1,PRJNA224116,SAMN02745537,GCA_000711215.1,full,Methanomicrobium mobile BP,representative genome,GCF_000711215.1,
GCA_000711905.1,ASM71190v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/711/905/GCA_000711905.1_ASM71190v1,GCA_000711905.1,Scaffold,ASM71190v1,PRJNA224116,SAMN02746094,GCA_000711905.1,full,Methermicoccus shengliensis DSM 18856,representative genome,GCF_000711905.1,
GCA_000723185.1,APF_1883_PRJEB4650,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/723/185/GCA_000723185.1_APF_1883_PRJEB4650,GCA_000723185.1,Contig,APF_1883_PRJEB4650,PRJNA224116,SAMEA3139018,GCA_000723185.1,full,Thaumarchaeota archaeon N4,representative genome,GCF_000723185.1,
GCA_000725425.1,ASM72542v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/425/GCA_000725425.1_ASM72542v1,GCA_000725425.1,Complete Genome,ASM72542v1,PRJNA224116,SAMN03081469,GCA_000725425.1,full,Palaeococcus pacificus DY20341,representative genome,GCF_000725425.1,
GCA_000730285.1,ASM73028v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/285/GCA_000730285.1_ASM73028v1,GCA_000730285.1,Complete Genome,ASM73028v1,PRJNA235208,SAMN03081530,GCA_000730285.1,full,Candidatus Nitrososphaera evergladensis SR1,na,GCA_000730285.1,
GCA_000731985.1,ASM73198v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/731/985/GCA_000731985.1_ASM73198v1,GCA_000731985.1,Contig,ASM73198v1,PRJNA224116,SAMN02800870,GCA_000731985.1,full,Natrinema altunense,representative genome,GCF_000731985.1,
GCA_000739065.1,ASM73906v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/065/GCA_000739065.1_ASM73906v1,GCA_000739065.1,Complete Genome,ASM73906v1,PRJNA224116,SAMN02951366,GCA_000739065.1,full,Methanocaldococcus bathoardescens,representative genome,GCF_000739065.1,
GCA_000739555.1,ASM73955v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/555/GCA_000739555.1_ASM73955v1,GCA_000739555.1,Contig,ASM73955v1,PRJNA224116,SAMD00018743,GCA_000739555.1,full,Halolamina rubra,representative genome,GCF_000739555.1,
GCA_000739575.1,ASM73957v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/575/GCA_000739575.1_ASM73957v1,GCA_000739575.1,Contig,ASM73957v1,PRJNA224116,SAMD00018744,GCA_000739575.1,full,Halobellus rufus,representative genome,GCF_000739575.1,
GCA_000739595.1,ASM73959v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/595/GCA_000739595.1_ASM73959v1,GCA_000739595.1,Contig,ASM73959v1,PRJNA224116,SAMD00018745,GCA_000739595.1,full,Halorubrum halophilum,representative genome,GCF_000739595.1,
GCA_000744455.1,ASM74445v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/744/455/GCA_000744455.1_ASM74445v1,GCA_000744455.1,Contig,ASM74445v1,PRJNA224116,SAMN02745846,GCA_000744455.1,full,Methanobacterium sp. SMA-27,na,GCF_000744455.1,
GCA_000745485.1,ASM74548v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/745/485/GCA_000745485.1_ASM74548v1,GCA_000745485.1,Scaffold,ASM74548v1,PRJNA224116,SAMN02910304,GCA_000745485.1,full,Methanobacterium veterum,representative genome,GCF_000745485.1,
GCA_000746205.1,ASM74620v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/205/GCA_000746205.1_ASM74620v1,GCA_000746205.1,Scaffold,ASM74620v1,PRJNA224116,SAMN02787129,GCA_000746205.1,full,Halorubrum sp. BV1,na,GCF_000746205.1,
GCA_000746685.1,ASM74668v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/685/GCA_000746685.1_ASM74668v1,GCA_000746685.1,Scaffold,ASM74668v1,PRJNA248339,SAMN02869628,GCA_000746685.1,full,Marine Group I thaumarchaeote SCGC AAA799-P11,na,GCA_000746685.1,
GCA_000746705.1,ASM74670v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/705/GCA_000746705.1_ASM74670v1,GCA_000746705.1,Scaffold,ASM74670v1,PRJNA248338,SAMN02869643,GCA_000746705.1,full,Marine Group I thaumarchaeote SCGC AAA799-O18,na,GCA_000746705.1,
GCA_000746765.1,ASM74676v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/765/GCA_000746765.1_ASM74676v1,GCA_000746765.1,Contig,ASM74676v1,PRJNA248333,SAMN02869596,GCA_000746765.1,full,Marine Group I thaumarchaeote SCGC AAA799-D11,na,GCA_000746765.1,
GCA_000746785.1,ASM74678v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/785/GCA_000746785.1_ASM74678v1,GCA_000746785.1,Scaffold,ASM74678v1,PRJNA248330,SAMN02869637,GCA_000746785.1,full,Marine Group I thaumarchaeote SCGC AAA799-B03,na,GCA_000746785.1,
GCA_000755225.1,ASM75522v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/225/GCA_000755225.1_ASM75522v1,GCA_000755225.1,Contig,ASM75522v1,PRJNA224116,SAMD00019894,GCA_000755225.1,full,Halapricum salinum,representative genome,GCF_000755225.1,
GCA_000755245.1,ASM75524v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/245/GCA_000755245.1_ASM75524v1,GCA_000755245.1,Contig,ASM75524v1,PRJNA224116,SAMD00019895,GCA_000755245.1,full,Halococcus sediminicola,representative genome,GCF_000755245.1,
GCA_000765475.1,Mmet_Version1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/475/GCA_000765475.1_Mmet_Version1,GCA_000765475.1,Contig,Mmet_Version1,PRJNA224116,SAMN03067868,GCA_000765475.1,full,Methanococcoides methylutens,representative genome,GCF_000765475.1,
GCA_000769655.1,ASM76965v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/655/GCA_000769655.1_ASM76965v1,GCA_000769655.1,Complete Genome,ASM76965v1,PRJNA224116,SAMN02838508,GCA_000769655.1,full,Thermococcus eurythermalis,representative genome,GCF_000769655.1,
GCA_000784355.1,Metpay,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/355/GCA_000784355.1_Metpay,GCA_000784355.1,Scaffold,Metpay,PRJNA224116,SAMN03196739,GCA_000784355.1,full,Methanolacinia paynteri,na,GCF_000784355.1,
GCA_000789255.1,ASM78925v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/789/255/GCA_000789255.1_ASM78925v1,GCA_000789255.1,Complete Genome,ASM78925v1,PRJNA224116,SAMN03070125,GCA_000789255.1,full,Geoglobus acetivorans,representative genome,GCF_000789255.1,
GCA_000800805.1,ASM80080v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/805/GCA_000800805.1_ASM80080v1,GCA_000800805.1,Complete Genome,ASM80080v1,PRJNA224116,SAMN03224143,GCA_000800805.1,full,Candidatus Methanoplasma termitum,na,GCF_000800805.1,
GCA_000802205.2,ASM80220v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/802/205/GCA_000802205.2_ASM80220v2,GCA_000802205.2,Complete Genome,ASM80220v2,PRJNA210256,SAMN03074222,GCA_000802205.2,full,Candidatus Nitrocosmicus oleophilus,na,GCA_000802205.2,
GCA_000806015.1,ASM80601v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/015/GCA_000806015.1_ASM80601v1,GCA_000806015.1,Scaffold,ASM80601v1,PRJNA268032,SAMN03217313,GCA_000806015.1,full,archaeon GW2011_AR19,na,GCA_000806015.1,
GCA_000806115.1,ASM80611v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/115/GCA_000806115.1_ASM80611v1,GCA_000806115.1,Scaffold,ASM80611v1,PRJNA268032,SAMN03217303,GCA_000806115.1,full,archaeon GW2011_AR5,na,GCA_000806115.1,
GCA_000806155.1,ASM80615v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/155/GCA_000806155.1_ASM80615v1,GCA_000806155.1,Scaffold,ASM80615v1,PRJNA268032,SAMN03217312,GCA_000806155.1,full,archaeon GW2011_AR18,na,GCA_000806155.1,
GCA_000812185.1,ASM81218v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/185/GCA_000812185.1_ASM81218v1,GCA_000812185.1,Complete Genome,ASM81218v1,PRJNA224116,SAMN03273964,GCA_000812185.1,full,Candidatus Nitrosopelagicus brevis,na,GCF_000812185.1,
GCA_000813245.1,ASM81324v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/813/245/GCA_000813245.1_ASM81324v1,GCA_000813245.1,Complete Genome,ASM81324v1,PRJNA224116,SAMN03274240,GCA_000813245.1,full,Thermofilum carboxyditrophus 1505,na,GCF_000813245.1,
GCA_000816105.1,ASM81610v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/105/GCA_000816105.1_ASM81610v1,GCA_000816105.1,Complete Genome,ASM81610v1,PRJNA224116,SAMN02429659,GCA_000816105.1,full,Thermococcus guaymasensis DSM 11113,representative genome,GCF_000816105.1,
GCA_000828575.1,ASM82857v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/575/GCA_000828575.1_ASM82857v1,GCA_000828575.1,Complete Genome,ASM82857v1,PRJNA224116,SAMD00060975,GCA_000828575.1,full,Methanothermobacter sp. CaT2,na,GCF_000828575.1,
GCA_000830275.1,ASM83027v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/275/GCA_000830275.1_ASM83027v1,GCA_000830275.1,Complete Genome,ASM83027v1,PRJNA268032,SAMN03217306,GCA_000830275.1,full,archaeon GW2011_AR10,na,GCA_000830275.1,
GCA_000830295.1,ASM83029v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/295/GCA_000830295.1_ASM83029v1,GCA_000830295.1,Chromosome,ASM83029v1,PRJNA268032,SAMN03217309,GCA_000830295.1,full,archaeon GW2011_AR15,na,GCA_000830295.1,
GCA_000830315.1,ASM83031v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/315/GCA_000830315.1_ASM83031v1,GCA_000830315.1,Complete Genome,ASM83031v1,PRJNA268032,SAMN03217314,GCA_000830315.1,full,archaeon GW2011_AR20,na,GCA_000830315.1,
GCA_000875775.1,ASM87577v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/875/775/GCA_000875775.1_ASM87577v1,GCA_000875775.1,Complete Genome,ASM87577v1,PRJNA269924,SAMN03257648,GCA_000875775.1,full,Candidatus Nitrosopumilus piranensis,na,GCA_000875775.1,
GCA_000955905.3,ASM95590v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/955/905/GCA_000955905.3_ASM95590v3,GCA_000955905.3,Complete Genome,ASM95590v3,PRJNA224116,SAMN03286947,GCA_000955905.3,full,Candidatus Nitrosotenuis cloacae,na,GCF_000955905.1,
GCA_000956175.1,ASM95617v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/956/175/GCA_000956175.1_ASM95617v1,GCA_000956175.1,Complete Genome,ASM95617v1,PRJNA224116,SAMN03253153,GCA_000956175.1,full,Candidatus Nitrosopumilus adriaticus,na,GCF_000956175.1,
GCA_000960885.1,ASM96088v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/960/885/GCA_000960885.1_ASM96088v1,GCA_000960885.1,Contig,ASM96088v1,PRJNA273893,SAMN03323733,GCA_000960885.1,full,Thermoproteus sp. AZ2,na,GCA_000960885.1,
GCA_000965745.1,ASM96574v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/965/745/GCA_000965745.1_ASM96574v1,GCA_000965745.1,Chromosome,ASM96574v1,PRJNA256113,SAMN02940502,GCA_000965745.1,partial,uncultured archaeon,na,GCA_000965745.1,
GCA_000966265.1,ASM96626v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/966/265/GCA_000966265.1_ASM96626v1,GCA_000966265.1,Contig,ASM96626v1,PRJNA224116,SAMN02744072,GCA_000966265.1,full,Palaeococcus ferrophilus DSM 13482,representative genome,GCF_000966265.1,
GCA_000969885.1,ASM96988v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/885/GCA_000969885.1_ASM96988v1,GCA_000969885.1,Complete Genome,ASM96988v1,PRJNA224116,SAMN03074597,GCA_000969885.1,full,Methanosarcina thermophila TM-1,representative genome,GCF_000969885.1,
GCA_000969905.1,ASM96990v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/905/GCA_000969905.1_ASM96990v1,GCA_000969905.1,Complete Genome,ASM96990v1,PRJNA224116,SAMN03074598,GCA_000969905.1,full,Methanosarcina vacuolata Z-761,representative genome,GCF_000969905.1,
GCA_000969965.1,ASM96996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/965/GCA_000969965.1_ASM96996v1,GCA_000969965.1,Complete Genome,ASM96996v1,PRJNA224116,SAMN03074594,GCA_000969965.1,full,Methanosarcina sp. WWM596,na,GCF_000969965.1,
GCA_000970025.1,ASM97002v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/025/GCA_000970025.1_ASM97002v1,GCA_000970025.1,Complete Genome,ASM97002v1,PRJNA224116,SAMN03074575,GCA_000970025.1,full,Methanosarcina barkeri MS,representative genome,GCF_000970025.1,
GCA_000970045.1,ASM97004v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/045/GCA_000970045.1_ASM97004v1,GCA_000970045.1,Complete Genome,ASM97004v1,PRJNA224116,SAMN03074591,GCA_000970045.1,full,Methanosarcina sp. MTP4,na,GCF_000970045.1,
GCA_000970085.1,ASM97008v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/085/GCA_000970085.1_ASM97008v1,GCA_000970085.1,Complete Genome,ASM97008v1,PRJNA224116,SAMN03074589,GCA_000970085.1,full,Methanosarcina siciliae T4/M,representative genome,GCF_000970085.1,
GCA_000970205.1,ASM97020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/205/GCA_000970205.1_ASM97020v1,GCA_000970205.1,Complete Genome,ASM97020v1,PRJNA224116,SAMN03074583,GCA_000970205.1,full,Methanosarcina mazei S-6,representative genome,GCF_000970205.1,
GCA_000970265.1,ASM97026v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/265/GCA_000970265.1_ASM97026v1,GCA_000970265.1,Complete Genome,ASM97026v1,PRJNA224116,SAMN03074579,GCA_000970265.1,full,Methanosarcina lacustris Z-7289,representative genome,GCF_000970265.1,
GCA_000970285.1,ASM97028v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/285/GCA_000970285.1_ASM97028v1,GCA_000970285.1,Complete Genome,ASM97028v1,PRJNA224116,SAMN03074578,GCA_000970285.1,full,Methanosarcina horonobensis HB-1 = JCM 15518,representative genome,GCF_000970285.1,
GCA_000970305.1,ASM97030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/305/GCA_000970305.1_ASM97030v1,GCA_000970305.1,Complete Genome,ASM97030v1,PRJNA224116,SAMN03074574,GCA_000970305.1,full,Methanosarcina barkeri 3,representative genome,GCF_000970305.1,
GCA_000970325.1,ASM97032v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/325/GCA_000970325.1_ASM97032v1,GCA_000970325.1,Complete Genome,ASM97032v1,PRJNA224116,SAMN03074571,GCA_000970325.1,full,Methanococcoides methylutens MM1,representative genome,GCF_000970325.1,
GCA_000979455.1,gtlEnvA5udCFS,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/455/GCA_000979455.1_gtlEnvA5udCFS,GCA_000979455.1,Scaffold,gtlEnvA5udCFS,PRJNA224116,SAMN02708991,GCA_000979455.1,full,Methanosarcina sp. 2.H.T.1A.6,na,GCF_000979455.1,
GCA_000993805.1,ASM99380v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/993/805/GCA_000993805.1_ASM99380v1,GCA_000993805.1,Complete Genome,ASM99380v1,PRJNA224116,SAMN03083278,GCA_000993805.1,full,Thermofilum uzonense,na,GCF_000993805.1,
GCA_001006045.1,ASM100604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/006/045/GCA_001006045.1_ASM100604v1,GCA_001006045.1,Complete Genome,ASM100604v1,PRJNA224116,SAMN02988852,GCA_001006045.1,full,Geoglobus ahangari,representative genome,GCF_001006045.1,
GCA_001011115.1,ASM101111v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/011/115/GCA_001011115.1_ASM101111v1,GCA_001011115.1,Complete Genome,ASM101111v1,PRJNA224116,SAMN02899090,GCA_001011115.1,full,Halanaeroarchaeum sulfurireducens,representative genome,GCF_001011115.1,
GCA_001017125.1,ASM101712v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/017/125/GCA_001017125.1_ASM101712v1,GCA_001017125.1,Scaffold,ASM101712v1,PRJNA224116,SAMN03288802,GCA_001017125.1,full,Methanoculleus sediminis,representative genome,GCF_001017125.1,
GCA_001189275.1,ASM118927v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/275/GCA_001189275.1_ASM118927v1,GCA_001189275.1,Complete Genome,ASM118927v1,PRJNA258558,SAMN02999931,GCA_001189275.1,full,Pyrobaculum sp. WP30,na,GCA_001189275.1,
GCA_001261915.1,Halorubrum_SD626R,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/261/915/GCA_001261915.1_Halorubrum_SD626R,GCA_001261915.1,Scaffold,Halorubrum SD626R,PRJNA224116,SAMEA3432861,GCA_001261915.1,full,Halorubrum sp. SD626R,na,GCF_001261915.1,
GCA_001273335.1,ASM127333v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/273/335/GCA_001273335.1_ASM127333v1,GCA_001273335.1,Contig,ASM127333v1,PRJNA270657,SAMN03793026,GCA_001273335.1,full,miscellaneous Crenarchaeota group-1 archaeon SG8-32-3,na,GCA_001273335.1,
GCA_001273385.1,ASM127338v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/273/385/GCA_001273385.1_ASM127338v1,GCA_001273385.1,Contig,ASM127338v1,PRJNA270657,SAMN03793027,GCA_001273385.1,full,miscellaneous Crenarchaeota group-6 archaeon AD8-1,na,GCA_001273385.1,
GCA_001280425.1,ASM128042v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/425/GCA_001280425.1_ASM128042v1,GCA_001280425.1,Contig,ASM128042v1,PRJNA224116,SAMN04007144,GCA_001280425.1,full,Haloarcula rubripromontorii,na,GCF_001280425.1,
GCA_001280455.1,ASM128045v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/455/GCA_001280455.1_ASM128045v1,GCA_001280455.1,Contig,ASM128045v1,PRJNA224116,SAMN04009067,GCA_001280455.1,full,Halorubrum tropicale,representative genome,GCF_001280455.1,
GCA_001282785.1,halo7,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/282/785/GCA_001282785.1_halo7,GCA_001282785.1,Contig,halo7,PRJNA224116,SAMEA3451356,GCA_001282785.1,full,Halolamina sediminis,representative genome,GCF_001282785.1,
GCA_001304615.1,ASM130461v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/304/615/GCA_001304615.1_ASM130461v1,GCA_001304615.1,Contig,ASM130461v1,PRJNA224116,SAMN04074913,GCA_001304615.1,full,Methanosarcina flavescens,representative genome,GCF_001304615.1,
GCA_001307315.1,Halpeg_cdk2_1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/315/GCA_001307315.1_Halpeg_cdk2_1,GCA_001307315.1,Contig,Halpeg_cdk2_1,PRJNA224116,SAMN03287580,GCA_001307315.1,full,Halolamina pelagica,representative genome,GCF_001307315.1,
GCA_001315825.1,ASM131582v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/825/GCA_001315825.1_ASM131582v1,GCA_001315825.1,Contig,ASM131582v1,PRJDB782,SAMD00000474,GCA_001315825.1,full,Metallosphaera hakonensis JCM 8857,na,GCA_001315825.1,
GCA_001315925.1,ASM131592v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/925/GCA_001315925.1_ASM131592v1,GCA_001315925.1,Contig,ASM131592v1,PRJDB787,SAMD00000407,GCA_001315925.1,full,Thermocladium modestius JCM 10088,na,GCA_001315925.1,
GCA_001315945.1,ASM131594v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/945/GCA_001315945.1_ASM131594v1,GCA_001315945.1,Contig,ASM131594v1,PRJNA224116,SAMD00000408,GCA_001315945.1,full,Methanogenium cariaci JCM 10550,representative genome,GCF_001315945.1,
GCA_001315965.1,ASM131596v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/965/GCA_001315965.1_ASM131596v1,GCA_001315965.1,Contig,ASM131596v1,PRJDB789,SAMD00000410,GCA_001315965.1,full,Methanoculleus chikugoensis JCM 10825,na,GCA_001315965.1,
GCA_001315985.1,ASM131598v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/985/GCA_001315985.1_ASM131598v1,GCA_001315985.1,Contig,ASM131598v1,PRJDB790,SAMD00000415,GCA_001315985.1,full,Vulcanisaeta distributa JCM 11216,na,GCA_001315985.1,
GCA_001316005.1,ASM131600v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/005/GCA_001316005.1_ASM131600v1,GCA_001316005.1,Contig,ASM131600v1,PRJDB791,SAMD00000416,GCA_001316005.1,full,Vulcanisaeta distributa JCM 11217,na,GCA_001316005.1,
GCA_001316025.1,ASM131602v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/025/GCA_001316025.1_ASM131602v1,GCA_001316025.1,Contig,ASM131602v1,PRJDB792,SAMD00000417,GCA_001316025.1,full,Vulcanisaeta souniana JCM 11219,na,GCA_001316025.1,
GCA_001316045.1,ASM131604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/045/GCA_001316045.1_ASM131604v1,GCA_001316045.1,Contig,ASM131604v1,PRJNA224116,SAMD00000478,GCA_001316045.1,full,Sulfolobus metallicus DSM 6482 = JCM 9184,representative genome,GCF_001316045.1,
GCA_001316085.1,ASM131608v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/085/GCA_001316085.1_ASM131608v1,GCA_001316085.1,Contig,ASM131608v1,PRJNA224116,SAMD00000537,GCA_001316085.1,full,Sulfolobus sp. JCM 16833,na,GCF_001316085.1,
GCA_001316105.1,ASM131610v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/105/GCA_001316105.1_ASM131610v1,GCA_001316105.1,Contig,ASM131610v1,PRJDB825,SAMD00000520,GCA_001316105.1,full,Thermogymnomonas acidicola JCM 13583,na,GCA_001316105.1,
GCA_001316125.1,ASM131612v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/125/GCA_001316125.1_ASM131612v1,GCA_001316125.1,Contig,ASM131612v1,PRJDB828,SAMD00000514,GCA_001316125.1,full,Vulcanisaeta distributa JCM 11213,na,GCA_001316125.1,
GCA_001316245.1,ASM131624v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/245/GCA_001316245.1_ASM131624v1,GCA_001316245.1,Contig,ASM131624v1,PRJDB849,SAMD00000523,GCA_001316245.1,full,Vulcanisaeta sp. JCM 14467,na,GCA_001316245.1,
GCA_001316265.1,ASM131626v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/265/GCA_001316265.1_ASM131626v1,GCA_001316265.1,Contig,ASM131626v1,PRJDB850,SAMD00000531,GCA_001316265.1,full,Vulcanisaeta sp. JCM 16159,na,GCA_001316265.1,
GCA_001316285.1,ASM131628v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/285/GCA_001316285.1_ASM131628v1,GCA_001316285.1,Contig,ASM131628v1,PRJDB851,SAMD00000532,GCA_001316285.1,full,Vulcanisaeta sp. JCM 16161,na,GCA_001316285.1,
GCA_001316325.1,ASM131632v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/325/GCA_001316325.1_ASM131632v1,GCA_001316325.1,Contig,ASM131632v1,PRJDB899,SAMD00016804,GCA_001316325.1,full,Methanobacterium formicicum JCM 10132,na,GCA_001316325.1,
