ncbi_genbank_assembly_accession,ncbi_assembly_name,ncbi_biosample,ncbi_organism_name,parsed_genome_accession,dataset
GCA_002785325.1,ASM278532v1,SAMN06659812,bacterium (Candidatus Howlettbacteria) CG_4_10_14_0_8_um_filter_40_9,GCA_002785325.1,train
GCA_002792735.1,ASM279273v1,SAMN06659745,bacterium CG_4_10_14_0_2_um_filter_33_32,GCA_002792735.1,train
GCA_000991185.1,ASM99118v1,SAMN03319322,Berkelbacteria bacterium GW2011_GWA2_35_9,GCA_000991185.1,train
GCA_002771215.1,ASM277121v1,SAMN06659689,Candidatus Nealsonbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_40_13,GCA_002771215.1,train
GCA_001776195.1,ASM177619v1,SAMN04314336,Candidatus Berkelbacteria bacterium RIFOXYA2_FULL_43_10,GCA_001776195.1,train
GCA_002778735.1,ASM277873v1,SAMN06659326,Candidatus Berkelbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_41_12,GCA_002778735.1,train
GCA_001774395.1,ASM177439v1,SAMN04315224,Candidatus Berkelbacteria bacterium RIFCSPLOWO2_01_FULL_50_28,GCA_001774395.1,train
GCA_001772255.1,ASM177225v1,SAMN04313689,candidate division Kazan bacterium RBG_13_50_9,GCA_001772255.1,train
GCA_001773725.1,ASM177372v1,SAMN04315052,Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_49_25,GCA_001773725.1,train
GCA_002428285.1,ASM242828v1,SAMN06452784,Patescibacteria group bacterium UBA6130,GCA_002428285.1,train
GCA_002784625.1,ASM278462v1,SAMN06659830,Candidatus Pacebacteria bacterium CG_4_10_14_0_8_um_filter_42_14,GCA_002784625.1,train
GCA_001789635.1,ASM178963v1,SAMN04315227,Candidatus Roizmanbacteria bacterium RIFCSPLOWO2_01_FULL_35_13,GCA_001789635.1,train
GCA_001788215.1,ASM178821v1,SAMN04315208,Candidatus Roizmanbacteria bacterium RIFCSPLOWO2_01_FULL_40_14,GCA_001788215.1,train
GCA_003173915.1,ASM317391v1,SAMN08372854,Candidatus Levybacteria bacterium,GCA_003173915.1,train
GCA_001780985.1,ASM178098v1,SAMN04315232,Candidatus Gottesmanbacteria bacterium RIFCSPLOWO2_01_FULL_43_11b,GCA_001780985.1,train
GCA_002785215.1,ASM278521v1,SAMN06659809,Candidatus Gottesmanbacteria bacterium CG_4_10_14_0_8_um_filter_37_24,GCA_002785215.1,train
GCA_001776635.1,ASM177663v1,SAMN04315020,Candidatus Daviesbacteria bacterium RIFCSPHIGHO2_01_FULL_40_11,GCA_001776635.1,train
GCA_001776545.1,ASM177654v1,SAMN04315804,Candidatus Curtissbacteria bacterium RIFCSPLOWO2_12_FULL_41_16,GCA_001776545.1,train
GCA_001816645.1,ASM181664v1,SAMN04314247,Candidatus Woykebacteria bacterium GWB1_45_5,GCA_001816645.1,train
GCA_001772625.1,ASM177262v1,SAMN04315039,candidate division WWE3 bacterium RIFCSPHIGHO2_01_FULL_42_13,GCA_001772625.1,train
GCA_002789015.1,ASM278901v1,SAMN06660008,candidate division WWE3 bacterium CG_4_9_14_0_2_um_filter_35_11,GCA_002789015.1,train
GCA_002774285.1,ASM277428v1,SAMN06659298,candidate division WWE3 bacterium CG08_land_8_20_14_0_20_40_13,GCA_002774285.1,train
GCA_002770755.1,ASM277075v1,SAMN06659703,candidate division WWE3 bacterium CG23_combo_of_CG06-09_8_20_14_all_40_14,GCA_002770755.1,train
GCA_002774225.1,ASM277422v1,SAMN06659301,candidate division WWE3 bacterium CG08_land_8_20_14_0_20_43_13,GCA_002774225.1,train
GCA_001772805.1,ASM177280v1,SAMN04313675,candidate division WWE3 bacterium RBG_19FT_COMBO_53_11,GCA_001772805.1,train
GCA_002791435.1,ASM279143v1,SAMN06660130,candidate division WWE3 bacterium CG_4_9_14_3_um_filter_43_9,GCA_002791435.1,train
GCA_002084955.1,ASM208495v1,SAMN06560473,candidate division CPR3 bacterium 4484_211,GCA_002084955.1,train
GCA_002840365.1,ASM284036v1,SAMN06767662,Candidatus Dojkabacteria bacterium HGW-Dojkabacteria-1,GCA_002840365.1,train
GCA_001567355.1,ASM156735v1,SAMN03326276,candidate division WS6 bacterium OLB20,GCA_001567355.1,train
GCA_001873755.1,ASM187375v1,SAMN04328296,Candidatus Wirthbacteria bacterium CG2_30_54_11,GCA_001873755.1,train
GCA_002687335.1,ASM268733v1,SAMN07618440,Chloroflexi bacterium,GCA_002687335.1,train
GCA_002715665.1,ASM271566v1,SAMN07618541,Chloroflexi bacterium,GCA_002715665.1,train
GCA_002816355.1,ASM281635v1,SAMN06121264,SAR202 cluster bacterium Io17-Chloro-G5,GCA_002816355.1,train
GCA_002717805.1,ASM271780v1,SAMN07618532,Chloroflexi bacterium,GCA_002717805.1,train
GCA_002717565.1,ASM271756v1,SAMN07618538,Chloroflexi bacterium,GCA_002717565.1,train
GCA_002238425.1,ASM223842v1,SAMN05959506,SAR202 cluster bacterium bin16,GCA_002238425.1,train
GCA_002450515.1,ASM245051v1,SAMN06450356,Dehalococcoidia bacterium UBA6952,GCA_002450515.1,train
GCA_002923335.1,ASM292333v1,SAMD00093773,bacterium HR23,GCA_002923335.1,train
GCA_003228115.1,ASM322811v1,SAMN08332066,Chloroflexi bacterium,GCA_003228115.1,train
GCA_002450835.1,ASM245083v1,SAMN06450478,Dehalococcoidia bacterium UBA6926,GCA_002450835.1,train
GCA_001466665.1,ASM146666v1,SAMN03068710,Dehalogenimonas alkenigignens,GCF_001466665.1,train
GCA_002423605.1,ASM242360v1,SAMN06456450,Dehalococcoidia bacterium UBA5620,GCA_002423605.1,train
GCA_002011475.1,ASM201147v1,SAMN06226371,Dehalococcoides sp. JdFR-54,GCA_002011475.1,train
GCA_002347295.1,ASM234729v1,SAMN06452696,Dehalococcoidia bacterium UBA2247,GCA_002347295.1,train
GCA_002367275.1,ASM236727v1,SAMN06453908,Dehalococcoidia bacterium UBA3088,GCA_002367275.1,train
GCA_001795035.1,ASM179503v1,SAMN04313993,Chloroflexi bacterium RBG_13_53_26,GCA_001795035.1,train
GCA_003229915.1,ASM322991v1,SAMN09240145,Chloroflexi bacterium,GCA_003229915.1,train
GCA_002707835.1,ASM270783v1,SAMN07618497,Chloroflexi bacterium,GCA_002707835.1,train
GCA_002239025.1,ASM223902v1,SAMN05959533,Chloroflexi bacterium bin125,GCA_002239025.1,train
GCA_002563855.1,ASM256385v1,SAMN05216314,Thermoflexus hugenholtzii,GCF_002563855.1,train
GCA_001795235.1,ASM179523v1,SAMN04313755,Chloroflexi bacterium RBG_16_64_32,GCA_001795235.1,train
GCA_002436065.1,ASM243606v1,SAMN06455613,Chloroflexi bacterium UBA6077,GCA_002436065.1,train
GCA_001306035.1,ASM130603v1,SAMN03856835,Levilinea saccharolytica,GCF_001306035.1,train
GCA_002794705.1,ASM279470v1,SAMN07982849,Chloroflexi bacterium,GCA_002794705.1,train
GCA_002328075.1,ASM232807v1,SAMN06452575,Anaerolineales bacterium UBA2181,GCA_002328075.1,train
GCA_900187885.1,IMG-taxon 2140918011 annotated assembly,SAMN02746019,Thermoflexus hugenholtzii JAD2,GCF_900187885.1,train
GCA_002238445.1,ASM223844v1,SAMN05959508,Caldilineaceae bacterium bin5,GCA_002238445.1,train
GCA_002366755.1,ASM236675v1,SAMN06455132,Anaerolineales bacterium UBA3071,GCA_002366755.1,train
GCA_002084875.1,ASM208487v1,SAMN06638406,Anaerolineaceae bacterium 4572_78,GCA_002084875.1,train
GCA_002348045.1,ASM234804v1,SAMN06453793,Anaerolineales bacterium UBA2232,GCA_002348045.1,train
GCA_002329325.1,ASM232932v1,SAMN06456895,Anaerolineales bacterium UBA1429,GCA_002329325.1,train
GCA_002366595.1,ASM236659v1,SAMN06453906,Anaerolineales bacterium UBA3082,GCA_002366595.1,train
GCA_002400365.1,ASM240036v1,SAMN06453058,Anaerolineales bacterium UBA4826,GCA_002400365.1,train
GCA_001306175.1,ASM130617v1,SAMN03274860,Ardenticatena maritima,GCF_001306175.1,train
GCA_000017805.1,ASM1780v1,SAMN02598306,Roseiflexus castenholzii DSM 13941,GCF_000017805.1,train
GCA_001898225.1,ASM189822v1,SAMN05660552,Chloroflexi bacterium 54-19,GCA_001898225.1,train
GCA_002898975.1,ASM289897v1,SAMD00093777,bacterium HR27,GCA_002898975.1,train
GCA_000025005.1,ASM2500v1,SAMN00017581,Thermobaculum terrenum ATCC BAA-798,GCF_000025005.1,train
GCA_003253565.1,ASM325356v1,SAMN02745214,Thermosporothrix hazakensis,GCF_003253565.1,train
GCA_003244175.1,ASM324417v1,SAMN09209449,Chloroflexi bacterium,GCA_003244175.1,train
GCA_002347925.1,ASM234792v1,SAMN06453796,Chloroflexi bacterium UBA2235,GCA_002347925.1,train
GCA_002404055.1,ASM240405v1,SAMN06451262,Chloroflexi bacterium UBA4733,GCA_002404055.1,train
GCA_003170875.1,20110800_E2D,SAMN08179049,candidate division AD3 bacterium,GCA_003170875.1,train
GCA_002427995.1,ASM242799v1,SAMN06455888,Chloroflexi bacterium UBA6019,GCA_002427995.1,train
GCA_003158875.1,20120600_E1D,SAMN08179529,Chloroflexi bacterium,GCA_003158875.1,train
GCA_003243965.1,ASM324396v1,SAMN09209450,Chloroflexi bacterium,GCA_003243965.1,train
GCA_002404155.1,ASM240415v1,SAMN06451265,Chloroflexi bacterium UBA4730,GCA_002404155.1,train
GCA_002433065.1,ASM243306v1,SAMN06452350,Chloroflexi bacterium UBA6622,GCA_002433065.1,train
GCA_000423905.1,ASM42390v1,SAMN02441490,Thermus antranikianii DSM 12462,GCF_000423905.1,train
GCA_002050035.1,ASM205003v1,SAMN06287783,Planctomycetales bacterium 4484_113,GCA_002050035.1,train
GCA_002435745.1,ASM243574v1,SAMN06453690,bacterium UBP15_UBA6099,GCA_002435745.1,train
GCA_000828675.1,ASM82867v1,SAMD00061023,Thermotoga profunda AZM34c06,GCF_000828675.1,train
none,none,none,none,GCA_003538775.1,train
GCA_001027025.1,ASM102702v1,SAMN02940556,Kosmotoga pacifica,GCF_001027025.1,train
GCA_000745455.1,ASM74545v1,SAMN02746016,Mesoaciditoga lauensis cd-1655R = DSM 25116,GCF_000745455.1,train
GCA_002375935.1,ASM237593v1,SAMN06455819,Acetothermia bacterium UBA3574,GCA_002375935.1,train
none,none,none,none,GCA_003535305.1,train
GCA_001778455.1,ASM177845v1,SAMN04314042,Candidatus Fraserbacteria bacterium RBG_16_55_9,GCA_001778455.1,train
GCA_001871575.1,ASM187157v1,SAMN04328255,Caldisericum sp. CG2_30_36_11,GCA_001871575.1,train
GCA_003140815.1,20120800_E3X,SAMN08180166,Caldiserica bacterium,GCA_003140815.1,train
GCA_002428295.1,ASM242829v1,SAMN06453265,Caldiserica bacterium UBA6126,GCA_002428295.1,train
GCA_000378005.1,ASM37800v1,SAMN02440465,Coprothermobacter platensis DSM 11748,GCF_000378005.1,train
GCA_000020965.1,ASM2096v1,SAMN02603928,Dictyoglomus thermophilum H-6-12,GCF_000020965.1,train
GCA_003057965.1,ASM305796v1,SAMN06013554,Thermodesulfobium acidiphilum,GCF_003057965.1,train
GCA_000712295.1,sjonesii4.0,SAMN02737376,Synergistes jonesii,GCF_000712295.1,train
GCA_001508835.1,ASM150883v1,SAMN03445127,bacterium 42_11,GCA_001508835.1,train
none,none,none,none,GCA_003451675.1,train
none,none,none,none,GCA_003542295.1,train
GCA_900317935.1,Rumen uncultured genome RUG334,SAMEA104666317,uncultured bacterium,GCA_900317935.1,train
GCA_002422125.1,ASM242212v1,SAMN06457399,bacterium UBP17_UBA6191,GCA_002422125.1,train
GCA_002869225.1,ASM286922v1,SAMN07982665,bacterium BM706,GCA_002869225.1,train
GCA_001791795.1,ASM179179v1,SAMN04314129,Candidatus Wallbacteria bacterium GWC2_49_35,GCA_001791795.1,train
GCA_003218615.1,ASM321861v1,SAMN08912010,Verrucomicrobia bacterium,GCA_003218615.1,train
GCA_002396885.1,ASM239688v1,SAMN06450693,Akkermansiaceae bacterium UBA5020,GCA_002396885.1,train
GCA_000953475.1,MfumSolVChr1,SAMEA2682029,Methylacidiphilum fumariolicum SolV,GCF_000953475.1,train
GCA_002715965.1,ASM271596v1,SAMN07620224,Verrucomicrobiales bacterium,GCA_002715965.1,train
GCA_003152315.1,20120700_P3D,SAMN08179836,Verrucomicrobia bacterium,GCA_003152315.1,train
GCA_001604565.1,ASM160456v1,SAMN03837578,Puniceicoccales bacterium Verruco_01,GCA_001604565.1,train
GCA_002440145.1,ASM244014v1,SAMN06454033,Verrucomicrobia bacterium UBA6354,GCA_002440145.1,train
GCA_002428045.1,ASM242804v1,SAMN06455894,Verrucomicrobia bacterium UBA6015,GCA_002428045.1,train
GCA_002423675.1,ASM242367v1,SAMN06450402,Verrucomicrobia bacterium UBA5540,GCA_002423675.1,train
GCA_002429005.1,ASM242900v1,SAMN06455369,Verrucomicrobia bacterium UBA6056,GCA_002429005.1,train
GCA_002304915.1,ASM230491v1,SAMN06452101,Verrucomicrobia bacterium UBA1418,GCA_002304915.1,train
GCA_002314455.1,ASM231445v1,SAMN06454594,Lentisphaeria bacterium UBA1791,GCA_002314455.1,train
GCA_002315885.1,ASM231588v1,SAMN06450982,Lentisphaeria bacterium UBA1724,GCA_002315885.1,train
GCA_000170755.1,ASM17075v1,SAMN02436148,Lentisphaera araneosa HTCC2155,GCF_000170755.1,train
none,none,none,none,GCA_003477185.1,train
GCA_002340265.1,ASM234026v1,SAMN06454547,Lentisphaeria bacterium UBA2565,GCA_002340265.1,train
GCA_002366995.1,ASM236699v1,SAMN06454897,bacterium UBP3_UBA3054,GCA_002366995.1,train
GCA_002329605.1,ASM232960v1,SAMN06451854,bacterium UBP3_UBA1439,GCA_002329605.1,train
GCA_002440765.1,ASM244076v1,SAMN06455703,bacterium UBP3_UBA6266,GCA_002440765.1,train
GCA_001499655.1,PNK1,SAMEA3539726,Candidatus Protochlamydia naegleriophila,GCF_001499655.1,train
GCA_900239945.1,Chlamydia sp. nov. H15-1957-10C,SAMEA103918591,Chlamydia sp. H15-1957-10C,GCF_900239945.1,train
GCA_001794905.1,ASM179490v1,SAMN04315661,Chlamydiae bacterium RIFCSPHIGHO2_12_FULL_49_11,GCA_001794905.1,train
GCA_002724245.1,ASM272424v1,SAMN07619714,Planctomycetaceae bacterium,GCA_002724245.1,train
GCA_900113665.1,IMG-taxon 2675903691 annotated assembly,SAMN05421753,Planctomicrobium piriforme,GCF_900113665.1,train
GCA_002303765.1,ASM230376v1,SAMN06456961,Planctomycetaceae bacterium UBA969,GCA_002303765.1,train
GCA_001898385.1,ASM189838v1,SAMN05660562,Planctomycetales bacterium 71-10,GCA_001898385.1,train
GCA_002709295.1,ASM270929v1,SAMN07619678,Phycisphaerae bacterium,GCA_002709295.1,train
GCA_002311745.1,ASM231174v1,SAMN06454632,Phycisphaerales bacterium UBA1161,GCA_002311745.1,train
GCA_002839495.1,ASM283949v1,SAMN06767744,Planctomycetes bacterium HGW-Planctomycetes-1,GCA_002839495.1,train
none,none,none,none,GCA_003485185.1,train
GCA_002338715.1,ASM233871v1,SAMN06451746,Phycisphaerales bacterium UBA1845,GCA_002338715.1,train
GCA_003170085.1,20110800_E3D,SAMN08179086,Planctomycetia bacterium,GCA_003170085.1,train
GCA_001828545.1,ASM182854v1,SAMN04315572,Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_52_36,GCA_001828545.1,train
GCA_001303885.1,ASM130388v1,SAMN03994198,Planctomycetes bacterium SM23_32,GCA_001303885.1,train
GCA_001302825.1,ASM130282v1,SAMN03994142,Planctomycetes bacterium DG_23,GCA_001302825.1,train
GCA_001828445.1,ASM182844v1,SAMN04313744,Planctomycetes bacterium RBG_16_43_13,GCA_001828445.1,train
GCA_002746235.1,ASM274623v1,SAMN07568854,Planctomycetes bacterium,GCA_002746235.1,train
GCA_003235605.1,ASM323560v1,SAMN09287798,Planctomycetes bacterium,GCA_003235605.1,train
GCA_002687715.1,ASM268771v1,SAMN07619727,Planctomycetes bacterium,GCA_002687715.1,train
none,none,none,none,GCA_003540375.1,train
GCA_002695115.1,ASM269511v1,SAMN07619735,Planctomycetes bacterium,GCA_002695115.1,train
GCA_002402755.1,ASM240275v1,SAMN06453310,Planctomycetes bacterium UBA4800,GCA_002402755.1,train
GCA_002343805.1,ASM234380v1,SAMN06454447,Planctomycetes bacterium UBA2392,GCA_002343805.1,train
none,none,none,none,GCA_003482625.1,train
GCA_002746535.1,ASM274653v1,SAMN07568863,Planctomycetes bacterium,GCA_002746535.1,train
GCA_003249795.1,ASM324979v1,SAMN09288115,bacterium,GCA_003249795.1,train
GCA_000468115.1,TsocrATCC35536v1.0,SAMN02344580,Treponema socranskii subsp. socranskii VPI DR56BR1116 = ATCC 35536,GCF_000468115.1,train
GCA_002313505.1,ASM231350v1,SAMN06455521,Spirochaeta sp. UBA1101,GCA_002313505.1,train
GCA_900315435.1,Rumen uncultured genome RUG023,SAMEA104667178,uncultured Spirochaetaceae bacterium,GCA_900315435.1,train
GCA_000008685.2,ASM868v2,SAMN02603966,Borreliella burgdorferi B31,GCF_000008685.2,train
GCA_001829315.1,ASM182931v1,SAMN04313951,Spirochaetes bacterium GWE1_32_154,GCA_001829315.1,train
GCA_001829155.1,ASM182915v1,SAMN04313962,Spirochaetes bacterium GWB1_36_13,GCA_001829155.1,train
GCA_002450905.1,ASM245090v1,SAMN06450844,Spirochaetia bacterium UBA6919,GCA_002450905.1,train
GCA_900112165.1,IMG-taxon 2597490362 annotated assembly,SAMN02745150,Brevinema andersonii,GCF_900112165.1,train
GCA_000092845.1,ASM9284v1,SAMN00001910,Brachyspira murdochii DSM 12563,GCF_000092845.1,train
none,none,none,none,GCA_003497555.1,train
GCA_003114855.1,ASM311485v1,SAMD00111977,Leptospira sp. YH101,GCF_003114855.1,train
GCA_000266885.1,ASM26688v1,SAMN02232065,Turneriella parva DSM 21527,GCF_000266885.1,train
GCA_002839375.1,ASM283937v1,SAMN06767749,Spirochaetae bacterium HGW-Spirochaetae-1,GCA_002839375.1,train
GCA_002501535.1,ASM250153v1,SAMN06453281,bacterium UBP7_UBA7824,GCA_002501535.1,train
GCA_002691165.1,ASM269116v1,SAMN07619054,Flavobacteriales bacterium,GCA_002691165.1,train
GCA_003151815.1,20120700_P3D,SAMN08179871,Bacteroidetes bacterium,GCA_003151815.1,train
GCA_002215675.1,ASM221567v1,SAMN06887670,Bacteroidetes bacterium 2013_40CM_41_45,GCA_002215675.1,train
GCA_900107985.1,IMG-taxon 2675903147 annotated assembly,SAMN05421877,Sphingobacterium lactis,GCF_900107985.1,train
GCA_002483345.1,ASM248334v1,SAMN06452166,Bacteroidetes bacterium UBA7662,GCA_002483345.1,train
GCA_002436505.1,ASM243650v1,SAMN06450966,Bacteroidetes bacterium UBA6491,GCA_002436505.1,train
GCA_000429465.1,ASM42946v1,SAMN02441203,Algoriphagus vanfongensis DSM 17529,GCF_000429465.1,train
GCA_001769655.1,ASM176965v1,SAMN04315811,Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_37_12,GCA_001769655.1,train
GCA_002473275.1,ASM247327v1,SAMN06452440,Bacteroidetes bacterium UBA7236,GCA_002473275.1,train
GCA_003285105.1,ASM328510v1,SAMN09428325,Rhodothermaceae bacterium,GCA_003285105.1,train
GCA_002364085.1,ASM236408v1,SAMN06454269,Balneolaceae bacterium UBA3186,GCA_002364085.1,train
GCA_000020625.1,ASM2062v1,SAMN02598281,Prosthecochloris aestuarii DSM 271,GCF_000020625.1,train
GCA_003233295.1,ASM323329v1,SAMN09240006,Ignavibacteria bacterium,GCA_003233295.1,train
GCA_002344965.1,ASM234496v1,SAMN06450431,Ignavibacteria bacterium UBA2330,GCA_002344965.1,train
none,none,none,none,GCA_003456055.1,train
GCA_002779395.1,ASM277939v1,SAMN06659244,Ignavibacteriales bacterium CG07_land_8_20_14_0_80_59_12,GCA_002779395.1,train
GCA_001458495.1,JGI assembly,SAMN03436190,Candidatus Kryptobacter tengchongensis,GCF_001458495.1,train
GCA_002426145.1,ASM242614v1,SAMN06457703,Ignavibacteria bacterium UBA5521,GCA_002426145.1,train
GCA_001567195.1,ASM156719v1,SAMN03372527,Chlorobi bacterium OLB7,GCA_001567195.1,train
GCA_003151825.1,20120700_P3D,SAMN08179870,Ignavibacteriae bacterium,GCA_003151825.1,train
GCA_003246455.1,ASM324645v1,SAMN09287913,Bacteroidetes bacterium,GCA_003246455.1,train
GCA_002898015.1,ASM289801v1,SAMD00081380,bacterium BMS3Bbin03,GCA_002898015.1,train
GCA_002084535.1,ASM208453v1,SAMN06628291,candidate division KSB1 bacterium 4572_119,GCA_002084535.1,train
GCA_002327255.1,ASM232725v1,SAMN06452215,bacterium UBA2214,GCA_002327255.1,train
GCA_001304035.1,ASM130403v1,SAMN03994197,bacterium SM23_31,GCA_001304035.1,train
GCA_001886815.1,ASM188681v1,SAMN05946030,Caldithrix abyssi DSM 13497,GCF_001886815.1,train
GCA_002049825.1,ASM204982v1,SAMN06288170,candidate division KSB1 bacterium 4484_188,GCA_002049825.1,train
GCA_002170405.1,ASM217040v1,SAMN06971934,bacterium TMED80,GCA_002170405.1,train
GCA_002707645.1,ASM270764v1,SAMN07619394,Candidatus Marinimicrobia bacterium,GCA_002707645.1,train
GCA_002452555.1,ASM245255v1,SAMN06456991,Candidatus Marinimicrobia bacterium UBA6817,GCA_002452555.1,train
GCA_001872685.1,ASM187268v1,SAMN04328203,Candidatus Marinimicrobia bacterium CG1_02_48_14,GCA_001872685.1,train
GCA_002347855.1,ASM234785v1,SAMN06452693,Candidatus Marinimicrobia bacterium UBA2242,GCA_002347855.1,train
GCA_002382735.1,ASM238273v1,SAMN06454802,bacterium UBP11_UBA4055,GCA_002382735.1,train
GCA_002127415.1,ASM212741v1,SAMN06319394,Calditrichaeota bacterium AABM5.125.24,GCA_002127415.1,train
GCA_002898195.1,ASM289819v1,SAMD00081381,bacterium BMS3Bbin04,GCA_002898195.1,train
GCA_002314675.1,ASM231467v1,SAMN06452464,Fibrobacter sp. UBA1765,GCA_002314675.1,train
GCA_002414805.1,ASM241480v1,SAMN06454974,Fibrobacteres bacterium UBA5070,GCA_002414805.1,train
none,none,none,none,GCA_003455335.1,train
GCA_001789205.1,ASM178920v1,SAMN04314369,Candidatus Raymondbacteria bacterium RIFOXYA2_FULL_49_16,GCA_001789205.1,train
GCA_000474745.1,Acht1_1,SAMN02469433,Chitinivibrio alkaliphilus ACht1,GCF_000474745.1,train
GCA_002085205.1,ASM208520v1,SAMN06624597,Candidatus Cloacimonas sp. 4484_275,GCA_002085205.1,train
GCA_002049945.1,ASM204994v1,SAMN06288060,Candidatus Cloacimonas sp. 4484_140,GCA_002049945.1,train
GCA_003157095.1,20120600_E3D,SAMN08179608,Gemmatimonadetes bacterium,GCA_003157095.1,train
GCA_002348265.1,ASM234826v1,SAMN06454411,Gemmatimonadales bacterium UBA2975,GCA_002348265.1,train
GCA_003242735.1,ASM324273v1,SAMN09092792,bacterium,GCA_003242735.1,train
GCA_001780825.1,ASM178082v1,SAMN04315771,Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11,GCA_001780825.1,train
GCA_002747875.1,ASM274787v1,SAMN07757548,bacterium DOLZORAL124_64_63,GCA_002747875.1,train
GCA_002403075.1,ASM240307v1,SAMN06455476,bacterium UBP1_UBA4783,GCA_002403075.1,train
GCA_001780165.1,ASM178016v1,SAMN04313721,Candidatus Eisenbacteria bacterium RBG_16_71_46,GCA_001780165.1,train
GCA_003235575.1,ASM323557v1,SAMN09287800,Candidatus Eisenbacteria bacterium,GCA_003235575.1,train
GCA_002686915.1,ASM268691v1,SAMN07619151,Gemmatimonadetes bacterium,GCA_002686915.1,train
GCA_002686955.1,ASM268695v1,SAMN07619150,Gemmatimonadetes bacterium,GCA_002686955.1,train
GCA_002412795.1,ASM241279v1,SAMN06450513,bacterium UBP2_UBA5202,GCA_002412795.1,train
GCA_001303705.1,ASM130370v1,SAMN03994202,candidate division TA06 bacterium SM23_40,GCA_001303705.1,train
GCA_001304015.1,ASM130401v1,SAMN03994216,candidate division Zixibacteria bacterium SM23_81,GCA_001304015.1,train
GCA_002084765.1,ASM208476v1,SAMN06638386,Candidatus Cloacimonetes bacterium 4572_55,GCA_002084765.1,train
GCA_002714465.1,ASM271446v1,SAMN07619165,Gemmatimonadetes bacterium,GCA_002714465.1,train
GCA_002712305.1,ASM271230v1,SAMN07619168,Gemmatimonadetes bacterium,GCA_002712305.1,train
GCA_002049985.1,ASM204998v1,SAMN06288098,Candidatus Latescibacteria bacterium 4484_181,GCA_002049985.1,train
GCA_002059205.1,ASM205920v1,SAMN06287578,Candidatus Latescibacteria bacterium 4484_107,GCA_002059205.1,train
GCA_000403035.1,ASM40303v1,SAMN02441742,Candidatus Latescibacter anaerobius SCGC AAA252-E07,GCA_000403035.1,train
none,none,none,none,GCA_003520965.1,train
GCA_001302725.1,ASM130272v1,SAMN03994145,candidate division Zixibacteria bacterium DG_27,GCA_001302725.1,train
GCA_002791595.1,ASM279159v1,SAMN06660138,candidate division Zixibacteria bacterium CG_4_9_14_3_um_filter_46_8,GCA_002791595.1,train
GCA_003105265.1,ASM310526v1,SAMN08364722,candidate division GN15 bacterium,GCA_003105265.1,train
GCA_001775355.1,ASM177535v1,SAMN04313728,candidate division Zixibacteria bacterium RBG_16_43_9,GCA_001775355.1,train
GCA_002085385.1,ASM208538v1,SAMN06624686,candidate division Zixibacteria bacterium 4484_93,GCA_002085385.1,train
GCA_002428525.1,ASM242852v1,SAMN06453689,bacterium UBP14_UBA6098,GCA_002428525.1,train
GCA_002316275.1,ASM231627v1,SAMN06455730,candidate division WOR-3 bacterium UBA1063,GCA_002316275.1,train
GCA_000980735.1,ASM98073v1,SAMN03460240,bacterium T1.2,GCA_000980735.1,train
GCA_002011615.1,ASM201161v1,SAMN06226389,Candidatus Hydrothermae bacterium JdFR-72,GCA_002011615.1,train
GCA_002898315.1,ASM289831v1,SAMD00093769,bacterium HR19,GCA_002898315.1,train
GCA_001303785.1,ASM130378v1,SAMN03994203,candidate division WOR_3 bacterium SM23_42,GCA_001303785.1,train
GCA_002347155.1,ASM234715v1,SAMN06453496,candidate division WOR-3 bacterium UBA2258,GCA_002347155.1,train
GCA_002366725.1,ASM236672v1,SAMN06455134,candidate division WOR-3 bacterium UBA3073,GCA_002366725.1,train
GCA_002256535.1,ASM225653v1,SAMN07350899,candidate division bacterium WOR-3 4484_18,GCA_002256535.1,train
GCA_002215665.1,ASM221566v1,SAMN06887667,candidate division TA06 bacterium JGI_Cruoil_03_38_101,GCA_002215665.1,train
GCA_002327905.1,ASM232790v1,SAMN06451428,candidate division WOR-3 bacterium UBA2202,GCA_002327905.1,train
GCA_001412365.1,ASM141236v1,SAMN04125646,Desulfuromonas sp. SDB,GCA_001412365.1,train
GCA_002030045.1,ASM203004v1,SAMN04330451,Candidatus Aegiribacteria bacterium MLS_C,GCA_002030045.1,train
GCA_002690165.1,ASM269016v1,SAMN07619754,Candidatus Poribacteria bacterium,GCA_002690165.1,train
GCA_002687025.1,ASM268702v1,SAMN07619755,Candidatus Poribacteria bacterium,GCA_002687025.1,train
GCA_002746185.1,ASM274618v1,SAMN07568857,Candidatus Hydrogenedentes bacterium,GCA_002746185.1,train
GCA_001567115.1,ASM156711v1,SAMN03372536,Omnitrophica bacterium OLB16,GCA_001567115.1,train
GCA_001774505.1,ASM177450v1,SAMN04313985,Candidatus Coatesbacteria bacterium RBG_13_66_14,GCA_001774505.1,train
GCA_003290465.1,ASM329046v1,SAMN09041722,uncultured bacterium clone BY,GCA_003290465.1,train
none,none,none,none,GCA_003501375.1,train
GCA_001661075.1,ASM166107v1,SAMN04566726,Pseudomonas silesiensis,GCF_001661075.1,train
