ncbi_assembly_name,ncbi_genbank_assembly_accession,ncbi_bioproject,ncbi_biosample,ncbi_assembly_level,ncbi_organism_name,ncbi_refseq_category,ncbi_genome_representation,parsed_genome_accession,# assembly_accession,ftp_path,asm_name
ASM83027v1,GCA_000830275.1,PRJNA268032,SAMN03217306,Complete Genome,archaeon GW2011_AR10,na,full,GCA_000830275.1,GCA_000830275.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/275/GCA_000830275.1_ASM83027v1,ASM83027v1
ASM83029v1,GCA_000830295.1,PRJNA268032,SAMN03217309,Chromosome,archaeon GW2011_AR15,na,full,GCA_000830295.1,GCA_000830295.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/295/GCA_000830295.1_ASM83029v1,ASM83029v1
ASM83031v1,GCA_000830315.1,PRJNA268032,SAMN03217314,Complete Genome,archaeon GW2011_AR20,na,full,GCA_000830315.1,GCA_000830315.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/315/GCA_000830315.1_ASM83031v1,ASM83031v1
ASM87577v1,GCA_000875775.1,PRJNA269924,SAMN03257648,Complete Genome,Candidatus Nitrosopumilus piranensis,na,full,GCA_000875775.1,GCA_000875775.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/875/775/GCA_000875775.1_ASM87577v1,ASM87577v1
ASM95590v3,GCA_000955905.3,PRJNA224116,SAMN03286947,Complete Genome,Candidatus Nitrosotenuis cloacae,na,full,GCF_000955905.1,GCA_000955905.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/955/905/GCA_000955905.3_ASM95590v3,ASM95590v3
ASM95617v1,GCA_000956175.1,PRJNA224116,SAMN03253153,Complete Genome,Candidatus Nitrosopumilus adriaticus,na,full,GCF_000956175.1,GCA_000956175.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/956/175/GCA_000956175.1_ASM95617v1,ASM95617v1
ASM96088v1,GCA_000960885.1,PRJNA273893,SAMN03323733,Contig,Thermoproteus sp. AZ2,na,full,GCA_000960885.1,GCA_000960885.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/960/885/GCA_000960885.1_ASM96088v1,ASM96088v1
ASM96574v1,GCA_000965745.1,PRJNA256113,SAMN02940502,Chromosome,uncultured archaeon,na,partial,GCA_000965745.1,GCA_000965745.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/965/745/GCA_000965745.1_ASM96574v1,ASM96574v1
ASM96626v1,GCA_000966265.1,PRJNA224116,SAMN02744072,Contig,Palaeococcus ferrophilus DSM 13482,representative genome,full,GCF_000966265.1,GCA_000966265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/966/265/GCA_000966265.1_ASM96626v1,ASM96626v1
ASM96988v1,GCA_000969885.1,PRJNA224116,SAMN03074597,Complete Genome,Methanosarcina thermophila TM-1,representative genome,full,GCF_000969885.1,GCA_000969885.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/885/GCA_000969885.1_ASM96988v1,ASM96988v1
ASM96990v1,GCA_000969905.1,PRJNA224116,SAMN03074598,Complete Genome,Methanosarcina vacuolata Z-761,representative genome,full,GCF_000969905.1,GCA_000969905.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/905/GCA_000969905.1_ASM96990v1,ASM96990v1
ASM96996v1,GCA_000969965.1,PRJNA224116,SAMN03074594,Complete Genome,Methanosarcina sp. WWM596,na,full,GCF_000969965.1,GCA_000969965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/965/GCA_000969965.1_ASM96996v1,ASM96996v1
ASM97002v1,GCA_000970025.1,PRJNA224116,SAMN03074575,Complete Genome,Methanosarcina barkeri MS,representative genome,full,GCF_000970025.1,GCA_000970025.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/025/GCA_000970025.1_ASM97002v1,ASM97002v1
ASM97004v1,GCA_000970045.1,PRJNA224116,SAMN03074591,Complete Genome,Methanosarcina sp. MTP4,na,full,GCF_000970045.1,GCA_000970045.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/045/GCA_000970045.1_ASM97004v1,ASM97004v1
ASM97008v1,GCA_000970085.1,PRJNA224116,SAMN03074589,Complete Genome,Methanosarcina siciliae T4/M,representative genome,full,GCF_000970085.1,GCA_000970085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/085/GCA_000970085.1_ASM97008v1,ASM97008v1
ASM97020v1,GCA_000970205.1,PRJNA224116,SAMN03074583,Complete Genome,Methanosarcina mazei S-6,representative genome,full,GCF_000970205.1,GCA_000970205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/205/GCA_000970205.1_ASM97020v1,ASM97020v1
ASM97026v1,GCA_000970265.1,PRJNA224116,SAMN03074579,Complete Genome,Methanosarcina lacustris Z-7289,representative genome,full,GCF_000970265.1,GCA_000970265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/265/GCA_000970265.1_ASM97026v1,ASM97026v1
ASM97028v1,GCA_000970285.1,PRJNA224116,SAMN03074578,Complete Genome,Methanosarcina horonobensis HB-1 = JCM 15518,representative genome,full,GCF_000970285.1,GCA_000970285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/285/GCA_000970285.1_ASM97028v1,ASM97028v1
ASM97030v1,GCA_000970305.1,PRJNA224116,SAMN03074574,Complete Genome,Methanosarcina barkeri 3,representative genome,full,GCF_000970305.1,GCA_000970305.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/305/GCA_000970305.1_ASM97030v1,ASM97030v1
ASM97032v1,GCA_000970325.1,PRJNA224116,SAMN03074571,Complete Genome,Methanococcoides methylutens MM1,representative genome,full,GCF_000970325.1,GCA_000970325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/325/GCA_000970325.1_ASM97032v1,ASM97032v1
gtlEnvA5udCFS,GCA_000979455.1,PRJNA224116,SAMN02708991,Scaffold,Methanosarcina sp. 2.H.T.1A.6,na,full,GCF_000979455.1,GCA_000979455.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/979/455/GCA_000979455.1_gtlEnvA5udCFS,gtlEnvA5udCFS
ASM99380v1,GCA_000993805.1,PRJNA224116,SAMN03083278,Complete Genome,Thermofilum uzonense,na,full,GCF_000993805.1,GCA_000993805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/993/805/GCA_000993805.1_ASM99380v1,ASM99380v1
ASM100604v1,GCA_001006045.1,PRJNA224116,SAMN02988852,Complete Genome,Geoglobus ahangari,representative genome,full,GCF_001006045.1,GCA_001006045.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/006/045/GCA_001006045.1_ASM100604v1,ASM100604v1
ASM101111v1,GCA_001011115.1,PRJNA224116,SAMN02899090,Complete Genome,Halanaeroarchaeum sulfurireducens,representative genome,full,GCF_001011115.1,GCA_001011115.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/011/115/GCA_001011115.1_ASM101111v1,ASM101111v1
ASM101712v1,GCA_001017125.1,PRJNA224116,SAMN03288802,Scaffold,Methanoculleus sediminis,representative genome,full,GCF_001017125.1,GCA_001017125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/017/125/GCA_001017125.1_ASM101712v1,ASM101712v1
ASM118927v1,GCA_001189275.1,PRJNA258558,SAMN02999931,Complete Genome,Pyrobaculum sp. WP30,na,full,GCA_001189275.1,GCA_001189275.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/275/GCA_001189275.1_ASM118927v1,ASM118927v1
Halorubrum SD626R,GCA_001261915.1,PRJNA224116,SAMEA3432861,Scaffold,Halorubrum sp. SD626R,na,full,GCF_001261915.1,GCA_001261915.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/261/915/GCA_001261915.1_Halorubrum_SD626R,Halorubrum SD626R
ASM127333v1,GCA_001273335.1,PRJNA270657,SAMN03793026,Contig,miscellaneous Crenarchaeota group-1 archaeon SG8-32-3,na,full,GCA_001273335.1,GCA_001273335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/273/335/GCA_001273335.1_ASM127333v1,ASM127333v1
ASM127338v1,GCA_001273385.1,PRJNA270657,SAMN03793027,Contig,miscellaneous Crenarchaeota group-6 archaeon AD8-1,na,full,GCA_001273385.1,GCA_001273385.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/273/385/GCA_001273385.1_ASM127338v1,ASM127338v1
ASM128042v1,GCA_001280425.1,PRJNA224116,SAMN04007144,Contig,Haloarcula rubripromontorii,na,full,GCF_001280425.1,GCA_001280425.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/425/GCA_001280425.1_ASM128042v1,ASM128042v1
ASM128045v1,GCA_001280455.1,PRJNA224116,SAMN04009067,Contig,Halorubrum tropicale,representative genome,full,GCF_001280455.1,GCA_001280455.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/455/GCA_001280455.1_ASM128045v1,ASM128045v1
halo7,GCA_001282785.1,PRJNA224116,SAMEA3451356,Contig,Halolamina sediminis,representative genome,full,GCF_001282785.1,GCA_001282785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/282/785/GCA_001282785.1_halo7,halo7
ASM130461v1,GCA_001304615.1,PRJNA224116,SAMN04074913,Contig,Methanosarcina flavescens,representative genome,full,GCF_001304615.1,GCA_001304615.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/304/615/GCA_001304615.1_ASM130461v1,ASM130461v1
Halpeg_cdk2_1,GCA_001307315.1,PRJNA224116,SAMN03287580,Contig,Halolamina pelagica,representative genome,full,GCF_001307315.1,GCA_001307315.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/315/GCA_001307315.1_Halpeg_cdk2_1,Halpeg_cdk2_1
ASM131582v1,GCA_001315825.1,PRJDB782,SAMD00000474,Contig,Metallosphaera hakonensis JCM 8857,na,full,GCA_001315825.1,GCA_001315825.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/825/GCA_001315825.1_ASM131582v1,ASM131582v1
ASM131592v1,GCA_001315925.1,PRJDB787,SAMD00000407,Contig,Thermocladium modestius JCM 10088,na,full,GCA_001315925.1,GCA_001315925.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/925/GCA_001315925.1_ASM131592v1,ASM131592v1
ASM131594v1,GCA_001315945.1,PRJNA224116,SAMD00000408,Contig,Methanogenium cariaci JCM 10550,representative genome,full,GCF_001315945.1,GCA_001315945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/945/GCA_001315945.1_ASM131594v1,ASM131594v1
ASM131596v1,GCA_001315965.1,PRJDB789,SAMD00000410,Contig,Methanoculleus chikugoensis JCM 10825,na,full,GCA_001315965.1,GCA_001315965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/965/GCA_001315965.1_ASM131596v1,ASM131596v1
ASM131598v1,GCA_001315985.1,PRJDB790,SAMD00000415,Contig,Vulcanisaeta distributa JCM 11216,na,full,GCA_001315985.1,GCA_001315985.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/985/GCA_001315985.1_ASM131598v1,ASM131598v1
ASM131600v1,GCA_001316005.1,PRJDB791,SAMD00000416,Contig,Vulcanisaeta distributa JCM 11217,na,full,GCA_001316005.1,GCA_001316005.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/005/GCA_001316005.1_ASM131600v1,ASM131600v1
ASM131602v1,GCA_001316025.1,PRJDB792,SAMD00000417,Contig,Vulcanisaeta souniana JCM 11219,na,full,GCA_001316025.1,GCA_001316025.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/025/GCA_001316025.1_ASM131602v1,ASM131602v1
ASM131604v1,GCA_001316045.1,PRJNA224116,SAMD00000478,Contig,Sulfolobus metallicus DSM 6482 = JCM 9184,representative genome,full,GCF_001316045.1,GCA_001316045.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/045/GCA_001316045.1_ASM131604v1,ASM131604v1
ASM131608v1,GCA_001316085.1,PRJNA224116,SAMD00000537,Contig,Sulfolobus sp. JCM 16833,na,full,GCF_001316085.1,GCA_001316085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/085/GCA_001316085.1_ASM131608v1,ASM131608v1
ASM131610v1,GCA_001316105.1,PRJDB825,SAMD00000520,Contig,Thermogymnomonas acidicola JCM 13583,na,full,GCA_001316105.1,GCA_001316105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/105/GCA_001316105.1_ASM131610v1,ASM131610v1
ASM131612v1,GCA_001316125.1,PRJDB828,SAMD00000514,Contig,Vulcanisaeta distributa JCM 11213,na,full,GCA_001316125.1,GCA_001316125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/125/GCA_001316125.1_ASM131612v1,ASM131612v1
ASM131624v1,GCA_001316245.1,PRJDB849,SAMD00000523,Contig,Vulcanisaeta sp. JCM 14467,na,full,GCA_001316245.1,GCA_001316245.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/245/GCA_001316245.1_ASM131624v1,ASM131624v1
ASM131626v1,GCA_001316265.1,PRJDB850,SAMD00000531,Contig,Vulcanisaeta sp. JCM 16159,na,full,GCA_001316265.1,GCA_001316265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/265/GCA_001316265.1_ASM131626v1,ASM131626v1
ASM131628v1,GCA_001316285.1,PRJDB851,SAMD00000532,Contig,Vulcanisaeta sp. JCM 16161,na,full,GCA_001316285.1,GCA_001316285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/285/GCA_001316285.1_ASM131628v1,ASM131628v1
ASM131632v1,GCA_001316325.1,PRJDB899,SAMD00016804,Contig,Methanobacterium formicicum JCM 10132,na,full,GCA_001316325.1,GCA_001316325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/325/GCA_001316325.1_ASM131632v1,ASM131632v1
ASM131734v1,GCA_001317345.1,PRJNA224116,SAMN03274361,Contig,Thermococcus sp. EP1,na,full,GCF_001317345.1,GCA_001317345.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/317/345/GCA_001317345.1_ASM131734v1,ASM131734v1
PRJEB5949_assembly_1,GCA_001368915.1,PRJNA224116,SAMEA3309464,Scaffold,Haloferax massiliensis,na,full,GCF_001368915.1,GCA_001368915.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/368/915/GCA_001368915.1_PRJEB5949_assembly_1,PRJEB5949_assembly_1
ASM139979v1,GCA_001399795.1,PRJNA291107,SAMN03983875,Scaffold,Candidatus Bathyarchaeota archaeon BA2,na,full,GCA_001399795.1,GCA_001399795.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/399/795/GCA_001399795.1_ASM139979v1,ASM139979v1
ASM139980v1,GCA_001399805.1,PRJNA291107,SAMN03983874,Scaffold,Candidatus Bathyarchaeota archaeon BA1,na,full,GCA_001399805.1,GCA_001399805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/399/805/GCA_001399805.1_ASM139980v1,ASM139980v1
ASM140294v1,GCA_001402945.1,PRJNA224116,SAMN04087216,Contig,Acidiplasma aeolicum,representative genome,full,GCF_001402945.1,GCA_001402945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/402/945/GCA_001402945.1_ASM140294v1,ASM140294v1
ASM141233v1,GCA_001412335.1,PRJNA293354,SAMN04125648,Contig,Methanolinea sp. SDB,na,full,GCA_001412335.1,GCA_001412335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/335/GCA_001412335.1_ASM141233v1,ASM141233v1
ASM141235v1,GCA_001412355.1,PRJNA293354,SAMN04125645,Contig,Methanoculleus sp. SDB,na,full,GCA_001412355.1,GCA_001412355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/355/GCA_001412355.1_ASM141235v1,ASM141235v1
ASM141261v1,GCA_001412615.1,PRJNA224116,SAMN03223811,Complete Genome,Pyrodictium delaneyi,representative genome,full,GCF_001412615.1,GCA_001412615.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/615/GCA_001412615.1_ASM141261v1,ASM141261v1
ASM142117v1,GCA_001421175.1,PRJNA295008,SAMN04038610,Contig,Methanomassiliicoccales archaeon RumEn M2,na,full,GCA_001421175.1,GCA_001421175.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/421/175/GCA_001421175.1_ASM142117v1,ASM142117v1
ASM142118v1,GCA_001421185.1,PRJNA295008,SAMN04038609,Contig,Methanomassiliicoccales archaeon RumEn M1,na,full,GCA_001421185.1,GCA_001421185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/421/185/GCA_001421185.1_ASM142118v1,ASM142118v1
ASM143762v1,GCA_001437625.1,PRJNA273799,SAMN03741946,Contig,Nitrosopumilus sp. BACL13 MAG-121220-bin23,na,full,GCA_001437625.1,GCA_001437625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/437/625/GCA_001437625.1_ASM143762v1,ASM143762v1
ASM144336v1,GCA_001443365.1,PRJNA262935,SAMN03462092,Scaffold,Thaumarchaeota archaeon CSP1-1,na,full,GCA_001443365.1,GCA_001443365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/365/GCA_001443365.1_ASM144336v1,ASM144336v1
HalopeDYS1.0,GCA_001462205.1,PRJNA224116,SAMN04018174,Scaffold,Haloparvum sedimenti,representative genome,full,GCF_001462205.1,GCA_001462205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/462/205/GCA_001462205.1_HalopeDYS1.0,HalopeDYS1.0
ASM146239v1,GCA_001462395.1,PRJNA224116,SAMN03154506,Contig,Pyrodictium occultum,representative genome,full,GCF_001462395.1,GCA_001462395.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/462/395/GCA_001462395.1_ASM146239v1,ASM146239v1
ASM146986v1,GCA_001469865.1,PRJNA224116,SAMN04318427,Contig,Haloferax sp. SB29,na,full,GCF_001469865.1,GCA_001469865.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/865/GCA_001469865.1_ASM146986v1,ASM146986v1
ASM146987v2,GCA_001469875.2,PRJNA224116,SAMN04318428,Scaffold,Haloferax sp. SB3,na,full,GCF_001469875.2,GCA_001469875.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/875/GCA_001469875.2_ASM146987v2,ASM146987v2
ASM146995v1,GCA_001469955.1,PRJNA224116,SAMN04318426,Contig,Haloprofundus marisrubri,representative genome,full,GCF_001469955.1,GCA_001469955.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/955/GCA_001469955.1_ASM146995v1,ASM146995v1
ASM147765v1,GCA_001477655.1,PRJNA224116,SAMN03438115,Complete Genome,Methanobrevibacter millerae,representative genome,full,GCF_001477655.1,GCA_001477655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/477/655/GCA_001477655.1_ASM147765v1,ASM147765v1
ASM148129v1,GCA_001481295.1,PRJNA224116,SAMN04326629,Contig,Candidatus Methanomethylophilus sp. 1R26,na,full,GCF_001481295.1,GCA_001481295.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/295/GCA_001481295.1_ASM148129v1,ASM148129v1
ASM148168v1,GCA_001481685.1,PRJNA224116,SAMN04316368,Complete Genome,Ignicoccus islandicus DSM 13165,representative genome,full,GCF_001481685.1,GCA_001481685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/685/GCA_001481685.1_ASM148168v1,ASM148168v1
ASM148228v1,GCA_001482285.1,PRJNA224116,SAMN04018175,Scaffold,Haloferax sp. Q22,na,full,GCF_001482285.1,GCA_001482285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/482/285/GCA_001482285.1_ASM148228v1,ASM148228v1
ASM148419v1,GCA_001484195.1,PRJNA224116,SAMN04166689,Contig,Thermococcus celericrescens,representative genome,full,GCF_001484195.1,GCA_001484195.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/195/GCA_001484195.1_ASM148419v1,ASM148419v1
ASM148468v1,GCA_001484685.1,PRJNA224116,SAMN03892931,Complete Genome,Thermococcus sp. 2319x1,na,full,GCF_001484685.1,GCA_001484685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/685/GCA_001484685.1_ASM148468v1,ASM148468v1
ASM148553v1,GCA_001485535.1,PRJNA224116,SAMD00043969,Contig,Halobacterium sp. CBA1132,na,full,GCF_001485535.1,GCA_001485535.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/535/GCA_001485535.1_ASM148553v1,ASM148553v1
ASM148557v1,GCA_001485575.1,PRJNA224116,SAMD00043971,Contig,Haloarcula sp. CBA1127,na,full,GCF_001485575.1,GCA_001485575.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/575/GCA_001485575.1_ASM148557v1,ASM148557v1
Halobacterium hubeiense JI20-1,GCA_001488575.1,PRJNA224116,SAMEA3305703,Complete Genome,Halobacterium hubeiense,representative genome,full,GCF_001488575.1,GCA_001488575.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/488/575/GCA_001488575.1_Halobacterium_hubeiense_JI20-1,Halobacterium hubeiense JI20-1
ASM150795v1,GCA_001507955.1,PRJNA278302,SAMN03445119,Contig,Methanobacteriaceae archaeon 41_258,na,full,GCA_001507955.1,GCA_001507955.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/507/955/GCA_001507955.1_ASM150795v1,ASM150795v1
ASM150937v1,GCA_001509375.1,PRJNA278302,SAMN03445147,Scaffold,Methanosaeta harundinacea,na,full,GCA_001509375.1,GCA_001509375.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/375/GCA_001509375.1_ASM150937v1,ASM150937v1
ASM151027v1,GCA_001510275.1,PRJNA279271,SAMN03733545,Contig,Thaumarchaeota archaeon casp-thauma3,na,full,GCA_001510275.1,GCA_001510275.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/510/275/GCA_001510275.1_ASM151027v1,ASM151027v1
ASM151029v1,GCA_001510295.1,PRJNA279271,SAMN03733546,Contig,Thaumarchaeota archaeon casp-thauma4,na,full,GCA_001510295.1,GCA_001510295.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/510/295/GCA_001510295.1_ASM151029v1,ASM151029v1
ASM151237v1,GCA_001512375.1,PRJNA283298,SAMN03776724,Scaffold,Candidatus Methanoculleus thermohydrogenotrophicum,na,full,GCA_001512375.1,GCA_001512375.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/512/375/GCA_001512375.1_ASM151237v1,ASM151237v1
ASM151296v1,GCA_001512965.1,PRJNA283298,SAMN03787326,Scaffold,Methanomicrobia archaeon DTU008,na,full,GCA_001512965.1,GCA_001512965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/512/965/GCA_001512965.1_ASM151296v1,ASM151296v1
DG-33,GCA_001515185.1,PRJNA270657,SAMN04385803,Scaffold,Hadesarchaea archaeon DG-33,na,full,GCA_001515185.1,GCA_001515185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/185/GCA_001515185.1_DG-33,DG-33
ASM151520v2,GCA_001515205.2,PRJNA298487,SAMN04159681,Contig,Hadesarchaea archaeon YNP_45,na,full,GCA_001515205.2,GCA_001515205.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/205/GCA_001515205.2_ASM151520v2,ASM151520v2
ASM151658v1,GCA_001516585.1,PRJNA295311,SAMN04045698,Contig,Thermocladium sp. ECH_B,na,full,GCA_001516585.1,GCA_001516585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/585/GCA_001516585.1_ASM151658v1,ASM151658v1
ASM151676v1,GCA_001516765.1,PRJNA295311,SAMN04045672,Scaffold,Vulcanisaeta sp. MG_3,na,full,GCA_001516765.1,GCA_001516765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/765/GCA_001516765.1_ASM151676v1,ASM151676v1
ASM154192v1,GCA_001541925.1,PRJNA224116,SAMN04386402,Contig,Nitrosopumilus sp. Nsub,na,full,GCF_001541925.1,GCA_001541925.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/541/925/GCA_001541925.1_ASM154192v1,ASM154192v1
ASM154290v1,GCA_001542905.1,PRJNA224116,SAMN04278861,Contig,Halorubrum aethiopicum,na,full,GCF_001542905.1,GCA_001542905.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/542/905/GCA_001542905.1_ASM154290v1,ASM154290v1
ASM154301v1,GCA_001543015.1,PRJNA287175,SAMN03777287,Contig,Nitrosopumilus sp. LS_AOA,na,full,GCA_001543015.1,GCA_001543015.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/015/GCA_001543015.1_ASM154301v1,ASM154301v1
ASM154867v1,GCA_001548675.1,PRJNA224116,SAMN03295748,Complete Genome,Methanobrevibacter sp. YE315,na,full,GCF_001548675.1,GCA_001548675.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/675/GCA_001548675.1_ASM154867v1,ASM154867v1
ASM155201v1,GCA_001552015.1,PRJNA266727,SAMN03173949,Complete Genome,Candidatus Nanopusillus acidilobi,na,full,GCA_001552015.1,GCA_001552015.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/552/015/GCA_001552015.1_ASM155201v1,ASM155201v1
ASM156091v1,GCA_001560915.1,PRJNA224116,SAMN03976563,Complete Genome,methanogenic archaeon ISO4-H5,representative genome,full,GCF_001560915.1,GCA_001560915.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/560/915/GCA_001560915.1_ASM156091v1,ASM156091v1
ASM156330v1,GCA_001563305.1,PRJNA305317,SAMN04324260,Chromosome,methanogenic archaeon mixed culture ISO4-G1,na,partial,GCA_001563305.1,GCA_001563305.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/305/GCA_001563305.1_ASM156330v1,ASM156330v1
ASM156332v1,GCA_001563325.1,PRJNA270657,SAMN03998758,Contig,Candidatus Thorarchaeota archaeon SMTZ1-83,na,full,GCA_001563325.1,GCA_001563325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/325/GCA_001563325.1_ASM156332v1,ASM156332v1
ASM156333v1,GCA_001563335.1,PRJNA270657,SAMN03998759,Contig,Candidatus Thorarchaeota archaeon SMTZ1-45,na,full,GCA_001563335.1,GCA_001563335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/335/GCA_001563335.1_ASM156333v1,ASM156333v1
